title,album,isrc,trackId,url,total_streams,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
ilomilo tekkno (sped up),ilomilo tekkno (sped up),GX8LD2258698,13JMGEaIAXzOndW8ETk7wC,https://open.spotify.com/track/13JMGEaIAXzOndW8ETk7wC,27088,,,,,,,
what the water gave me tekkno,what the water gave me tekkno,GX8LD2211850,7fY5YD3Zr9FDXk2ZaYaNI6,https://open.spotify.com/track/7fY5YD3Zr9FDXk2ZaYaNI6,26487,,,,,,,
what the water gave me tekkno (sped up),what the water gave me tekkno (sped up),GX8LD2253092,5IR3blGBzJ82WwxTAl4wbM,https://open.spotify.com/track/5IR3blGBzJ82WwxTAl4wbM,1970,,,,,,,
xo tekkno,xo tekkno,GX8LD2262377,4Sl8KRerVKmOYdDb3PiZtK,https://open.spotify.com/track/4Sl8KRerVKmOYdDb3PiZtK,21066,,,,,,,
xo tekkno (sped up),xo tekkno (sped up),GX8LD2264684,5iQJPI6vfA2lBWhEVtjQ7t,https://open.spotify.com/track/5iQJPI6vfA2lBWhEVtjQ7t,2027,,,,,,,
all the kids are depressed tekkno,all the kids are depressed tekkno,GX8LD2264820,7BETeJ77vauCTKuhtVDPyF,https://open.spotify.com/track/7BETeJ77vauCTKuhtVDPyF,35267,,,,,,,
all the kids are depressed tekkno (sped up),all the kids are depressed tekkno (sped up),GX8LD2210261,5WrY2x342nw3FSd3iV85DX,https://open.spotify.com/track/5WrY2x342nw3FSd3iV85DX,2189,,,,,,,
back and forth tekkno,back and forth tekkno,GX8LD2289044,2TIfFucaqwHnJgatF31M3w,https://open.spotify.com/track/2TIfFucaqwHnJgatF31M3w,0,,,,,,,
back and forth tekkno (sped up),back and forth tekkno (sped up),GX8LD2226213,3pGCsnDgBTJlUdYYR1Gch2,https://open.spotify.com/track/3pGCsnDgBTJlUdYYR1Gch2,3424,,,,,,,
bruises tekkno,bruises tekkno,GX8LD2264663,3LzzEYC4UxR7aDNak25RIo,https://open.spotify.com/track/3LzzEYC4UxR7aDNak25RIo,32410,,,,,,,
bruises tekkno (sped up),bruises tekkno (sped up),GX8LD2291417,4JEtEMPmeShH7nbxeBxIDt,https://open.spotify.com/track/4JEtEMPmeShH7nbxeBxIDt,2712,,,,,,,
daddy af tekkno,daddy af tekkno,GX8LD2200088,5wVQ5X7uXG5Z4M2JfyxMCk,https://open.spotify.com/track/5wVQ5X7uXG5Z4M2JfyxMCk,28821,,,,,,,
daddy af tekkno (sped up),daddy af tekkno (sped up),GX8LD2279145,2eYXjxDisIrB2MQdO1qI1a,https://open.spotify.com/track/2eYXjxDisIrB2MQdO1qI1a,2256,,,,,,,
falling tekkno,falling tekkno,GX8LD2291241,7BNh0456RdyzXp2uNreXoT,https://open.spotify.com/track/7BNh0456RdyzXp2uNreXoT,26464,,,,,,,
falling tekkno (sped up),falling tekkno (sped up),GX8LD2276207,4e4KDxO2tPj9O8ffSzl5Mf,https://open.spotify.com/track/4e4KDxO2tPj9O8ffSzl5Mf,1718,,,,,,,
following the sun tekkno,following the sun tekkno,GX8LD2259865,3BPt5tj2O7SHGBm3OM7O15,https://open.spotify.com/track/3BPt5tj2O7SHGBm3OM7O15,39846,,,,,,,
following the sun tekkno (sped up),following the sun tekkno (sped up),GX8LD2213418,1rPO4QyPXJxeCFCTdtLEHx,https://open.spotify.com/track/1rPO4QyPXJxeCFCTdtLEHx,3301,,,,,,,
rinse & repeat tekkno,rinse & repeat tekkno,GX8LD2218202,1pj1Xpc1HtpW0acuLJBJqz,https://open.spotify.com/track/1pj1Xpc1HtpW0acuLJBJqz,25801,,,,,,,
rinse & repeat tekkno (sped up),rinse & repeat tekkno (sped up),GX8LD2264041,0mgo9WkCRkwRrtnUPVvYns,https://open.spotify.com/track/0mgo9WkCRkwRrtnUPVvYns,17309,,,,,,,
river flows in you tekkno,river flows in you tekkno,GX8LD2281309,7mj5hXo0iqY2E1ItbPzx0p,https://open.spotify.com/track/7mj5hXo0iqY2E1ItbPzx0p,34446,,,,,,,
river flows in you tekkno (sped up),river flows in you tekkno (sped up),GX8LD2216015,71KvV4enpIKqxvGUzlbDqa,https://open.spotify.com/track/71KvV4enpIKqxvGUzlbDqa,7359,,,,,,,
sorry tekkno,sorry tekkno,GX8LD2297728,3z6L6Q2PNiLJ97gTV7iv7U,https://open.spotify.com/track/3z6L6Q2PNiLJ97gTV7iv7U,26287,,,,,,,
sorry tekkno (sped up),sorry tekkno (sped up),GX8LD2250381,2J2L5UIBHjOBmhcEcQawHi,https://open.spotify.com/track/2J2L5UIBHjOBmhcEcQawHi,1842,,,,,,,
praise the lord tekkno (sped up),praise the lord tekkno (sped up),GX8LD2238612,1c84gMKBOXcYFtidjboGF5,https://open.spotify.com/track/1c84gMKBOXcYFtidjboGF5,571836,,,,,,,
build a bitch tekkno,build a bitch tekkno,GX8LD2214822,2lElzIaNfDZH28wQ9xsLBB,https://open.spotify.com/track/2lElzIaNfDZH28wQ9xsLBB,43581,,,,,,,
build a bitch tekkno (sped up),build a bitch tekkno (sped up),GX8LD2211667,6whjPQXg1abj7dcYucRoAQ,https://open.spotify.com/track/6whjPQXg1abj7dcYucRoAQ,4914,,,,,,,
moonlight shadow tekkno,moonlight shadow tekkno,GX8LD2215464,5AwRz7T04wWLNrG6joWhZl,https://open.spotify.com/track/5AwRz7T04wWLNrG6joWhZl,60756,,,,,,,
moonlight shadow tekkno (sped up),moonlight shadow tekkno (sped up),GX8LD2220731,1eLuwN7wPhoebb2u2VRz1M,https://open.spotify.com/track/1eLuwN7wPhoebb2u2VRz1M,3340,,,,,,,
airplanes tekkno,airplanes tekkno,GX8KD2285985,67gQ2JK1JCok62YDMskjXI,https://open.spotify.com/track/67gQ2JK1JCok62YDMskjXI,72541,,,,,,,
airplanes tekkno (sped up),airplanes tekkno (sped up),GX8KD2299142,0xIkQRJlmMmLvWSGUXqKhu,https://open.spotify.com/track/0xIkQRJlmMmLvWSGUXqKhu,8510,,,,,,,
ego tekkno,ego tekkno,GX8KD2295943,2dM7uS5GskK0VAhjMBlvkR,https://open.spotify.com/track/2dM7uS5GskK0VAhjMBlvkR,54832,,,,,,,
ego tekkno (sped up),ego tekkno (sped up),GX8KD2287830,2VSCwhz09K2jQljmRSDGLI,https://open.spotify.com/track/2VSCwhz09K2jQljmRSDGLI,2501,,,,,,,
light tekkno,light tekkno,GX8KD2259798,75LqNudGK0wDbT19do5ubs,https://open.spotify.com/track/75LqNudGK0wDbT19do5ubs,55397,,,,,,,
light tekkno (sped up),light tekkno (sped up),GX8KD2286981,1aqeQJSjtGUudhWV6vpN9A,https://open.spotify.com/track/1aqeQJSjtGUudhWV6vpN9A,2926,,,,,,,
do i wanna know tekkno,do i wanna know tekkno,GX8KD2295733,1q3CqiNOZdGcubG8CkIyD7,https://open.spotify.com/track/1q3CqiNOZdGcubG8CkIyD7,72543,,,,,,,
do i wanna know tekkno (sped up),do i wanna know tekkno (sped up),GX8KD2298145,3KarB0sIq2WieTHAqVnWS2,https://open.spotify.com/track/3KarB0sIq2WieTHAqVnWS2,3362,,,,,,,
sing me to sleep tekkno,sing me to sleep tekkno,GX8KD2287210,6LoabGS39ofepbs0NrMkt2,https://open.spotify.com/track/6LoabGS39ofepbs0NrMkt2,183606,,,,,,,
sing me to sleep tekkno (sped up),sing me to sleep tekkno (sped up),GX8KD2282302,6dbZNhvPLMk7qyuhaMpa24,https://open.spotify.com/track/6dbZNhvPLMk7qyuhaMpa24,3608,,,,,,,
paper planes tekkno,paper planes tekkno,GX8KD2257552,71y78ZDdukCdv8nSjUcIpo,https://open.spotify.com/track/71y78ZDdukCdv8nSjUcIpo,257832,,,,,,,
paper planes tekkno (sped up),paper planes tekkno (sped up),GX8KD2257594,65gfdLPDZWNUUFdIfSXb8b,https://open.spotify.com/track/65gfdLPDZWNUUFdIfSXb8b,10890,,,,,,,
sonnentanz tekkno,sonnentanz tekkno,GX8KD2257734,2yA4NG5PzvLOaE7LMHOMu4,https://open.spotify.com/track/2yA4NG5PzvLOaE7LMHOMu4,422885,,,,,,,
sonnentanz tekkno (sped up),sonnentanz tekkno (sped up),GX8KD2257739,4J9xs8BfkmxHhuafUKWH6c,https://open.spotify.com/track/4J9xs8BfkmxHhuafUKWH6c,19321,,,,,,,
voules vouz tekkno,voules vouz tekkno,GX8KD2257521,6QhWAOmb47OBTz17kk7emY,https://open.spotify.com/track/6QhWAOmb47OBTz17kk7emY,318489,,,,,,,
voules vouz tekkno (sped up),voules vouz tekkno (sped up),GX8KD2257563,6DlKgMhdo3YOm6LONGa0wQ,https://open.spotify.com/track/6DlKgMhdo3YOm6LONGa0wQ,326983,,,,,,,
set fire to the rain tekkno,set fire to the rain tekkno,GX8KD2257628,4l8PCNwdoal19AAy4YWeoe,https://open.spotify.com/track/4l8PCNwdoal19AAy4YWeoe,3726910,,,,,,,
i could be the one tekkno,i could be the one tekkno,GX8KD2248158,0mJumaUZlozszjPEO00XsQ,https://open.spotify.com/track/0mJumaUZlozszjPEO00XsQ,98040,,,,,,,
beautiful girl tekkno,beautiful girl tekkno,GX8KD2245042,7xMZmDuE1wTXZQqn67USgu,https://open.spotify.com/track/7xMZmDuE1wTXZQqn67USgu,79422,,,,,,,
beautiful girl tekkno (sped up),beautiful girl tekkno (sped up),GX8KD2245035,2A5F7LEhG2rjsxEAi4SM9S,https://open.spotify.com/track/2A5F7LEhG2rjsxEAi4SM9S,12033,,,,,,,
blank space tekkno (sped up),blank space tekkno (sped up),GX8KD2242264,2Ej4IyKhXs3bzdAvZfnkIE,https://open.spotify.com/track/2Ej4IyKhXs3bzdAvZfnkIE,12301,,,,,,,
meet her at the love parade tekkno,meet her at the love parade tekkno,GX8KD2242246,6YJoffOLNqNZx7Mfws575d,https://open.spotify.com/track/6YJoffOLNqNZx7Mfws575d,329920,,,,,,,
meet her at the love parade tekkno (sped up),meet her at the love parade tekkno (sped up),GX8KD2242250,0ZzKZmAVjpAUbekIiiucnf,https://open.spotify.com/track/0ZzKZmAVjpAUbekIiiucnf,11547,,,,,,,
blank space tekkno,blank space tekkno,GX8KD2239911,2XTm0OKLu7fo8YM4kEykax,https://open.spotify.com/track/2XTm0OKLu7fo8YM4kEykax,73014,,,,,,,
i need a boiler room tekkno,i need a boiler room tekkno,GX8KD2239259,0LNG48jhqgA3npB866d2Wf,https://open.spotify.com/track/0LNG48jhqgA3npB866d2Wf,71074,,,,,,,
i need a boiler room tekkno (sped up),i need a boiler room tekkno (sped up),GX8KD2239256,1oAMRvfoHXiNg9emoU00kx,https://open.spotify.com/track/1oAMRvfoHXiNg9emoU00kx,0,,,,,,,
lost boy tekkno,lost boy tekkno,GX8KD2239971,3ZvQ6GNd58oy5jwQMtdlJc,https://open.spotify.com/track/3ZvQ6GNd58oy5jwQMtdlJc,176249,,,,,,,
lost boy tekkno (sped up),lost boy tekkno (sped up),GX8KD2239983,15FMwrJX8z4Mtdel01H0cD,https://open.spotify.com/track/15FMwrJX8z4Mtdel01H0cD,6799,,,,,,,
drugs from amsterdam tekkno,drugs from amsterdam tekkno,GX8KD2236512,7bmgyAuVUOPR97vb4HWSMF,https://open.spotify.com/track/7bmgyAuVUOPR97vb4HWSMF,661655,,,,,,,
drugs from amsterdam tekkno (sped up),drugs from amsterdam tekkno (sped up),GX8KD2236531,2FlmrA14niNZd8cfwviGcX,https://open.spotify.com/track/2FlmrA14niNZd8cfwviGcX,18142,,,,,,,
bulletproof tekkno,bulletproof tekkno,GX8KD2229034,4qRdS6InvlnugJxfOIh0CP,https://open.spotify.com/track/4qRdS6InvlnugJxfOIh0CP,4232452,,,,,,,
bulletproof tekkno (sped up),bulletproof tekkno (sped up),GX8KD2229043,7jTc8Ivm6WTWoOOYYQNRo3,https://open.spotify.com/track/7jTc8Ivm6WTWoOOYYQNRo3,174227,,,,,,,
rhythm is a dancer tekkno,rhythm is a dancer tekkno,GX8KD2229143,0RIEKhYLkByW3cbVm0i8Nu,https://open.spotify.com/track/0RIEKhYLkByW3cbVm0i8Nu,226684,,,,,,,
rhythm is a dancer tekkno (sped up),rhythm is a dancer tekkno (sped up),GX8KD2229089,3Aw940Z2QKjfNLRTWBd7Td,https://open.spotify.com/track/3Aw940Z2QKjfNLRTWBd7Td,40538,,,,,,,
the way i are tekkno,the way i are tekkno,GX8KD2229029,1KPFok3GOxnHjJXik00h9u,https://open.spotify.com/track/1KPFok3GOxnHjJXik00h9u,6328,,,,,,,
the way i are tekkno (sped up),the way i are tekkno (sped up),GX8KD2229030,0Mrbdk36VyxIrLH8JB4iYV,https://open.spotify.com/track/0Mrbdk36VyxIrLH8JB4iYV,7787,,,,,,,
